order_number,row_number,cart_number_frame,cart_location_nr,width,height,depth,weight,pallet_marking
74187072,5,324,6,1080,1180,92,46,1
74187072,5,324,7,1080,1180,92,46,1
74187072,5,324,8,1080,1180,92,46,1
74187072,5,325,1,1080,1180,92,46,1
74187072,5,325,2,1080,1180,92,46,1
74842435,15,325,3,890,1190,92,31,1
74842435,15,325,4,890,1190,92,31,1
74842435,15,325,5,890,1190,92,31,1
74842435,15,325,6,890,1190,92,31,1
74842435,15,325,7,890,1190,92,31,1
74842435,15,325,8,890,1190,92,31,1
74055995,5,326,1,890,890,92,32,1
74055995,10,326,2,450,890,92,18,1
74055995,15,326,3,990,1090,92,41,1
74055995,20,326,4,1390,1090,92,56,1
74055995,25,326,5,1990,1090,92,83,1
74055995,30,326,6,390,1590,92,22,1
74055995,40,326,7,1390,1390,92,70,1
74055995,45,326,8,890,1190,92,41,1
74055995,50,327,1,890,2090,92,63,1
74252605,5,327,2,1190,1190,92,50,1
74252605,5,327,3,1190,1190,92,50,1
74252605,5,327,4,1190,1190,92,50,1
74252605,5,327,5,1190,1190,92,50,1
74252605,10,327,6,590,1190,92,27,1
74252605,10,327,7,590,1190,92,27,1
74252605,20,327,8,1190,1590,92,61,1
74252605,20,328,1,1190,1590,92,61,1
74252605,20,328,2,1190,1590,92,61,1
74252605,25,328,3,1190,1790,92,69,1
74842432,5,328,4,1490,2090,92,77,1
74842432,5,328,5,1490,2090,92,77,1
74842432,15,328,6,450,690,92,11,1
74842432,15,328,7,450,690,92,11,1
74842432,20,328,8,990,1290,92,39,1
74842432,20,329,1,990,1290,92,39,1
74842432,25,329,2,450,450,92,8,1
74842432,25,329,3,450,450,92,8,1
74842432,30,329,4,1490,1590,92,66,1
74842432,35,329,5,1090,1590,92,51,1
74842432,35,329,6,1090,1590,92,51,1
74121530,5,329,7,2390,490,92,35,1
74121530,10,329,8,2390,490,92,35,1
74121530,15,330,1,2090,1090,92,56,1
74121530,15,330,2,2090,1090,92,56,1
74121530,20,330,3,1490,1090,92,47,1
74121530,20,330,4,1490,1090,92,47,1
74121530,20,330,5,1490,1090,92,47,1
74121530,20,330,6,1490,1090,92,47,1
74121530,20,330,7,1490,1090,92,47,1
74121530,20,330,8,1490,1090,92,47,1
74121530,20,331,1,1490,1090,92,47,1
74121530,35,331,2,790,1090,92,26,1
74121530,35,331,3,790,1090,92,26,1
74121530,35,331,4,790,1090,92,26,1
75497800,5,331,5,1890,1090,92,55,1
75497800,5,331,6,1890,1090,92,55,1
75497800,5,331,7,1890,1090,92,55,1
75497800,5,331,8,1890,1090,92,55,1
75497800,10,332,1,1890,890,92,46,1
75497800,10,332,2,1890,890,92,46,1
75497800,10,332,3,1890,890,92,46,1
75497800,10,332,4,1890,890,92,46,1
75497800,10,332,5,1890,890,92,46,1
75497800,10,332,6,1890,890,92,46,1
75497800,10,332,7,1890,890,92,46,1
75497800,10,332,8,1890,890,92,46,1
75497800,10,333,1,1890,890,92,46,1
75497800,10,333,2,1890,890,92,46,1
72155446,10,333,3,1090,790,92,24,1
72155446,10,333,4,1090,790,92,24,1
72155446,10,333,5,1090,790,92,24,1
72155446,10,333,6,1090,790,92,24,1
72155446,10,333,7,1090,790,92,24,1
72155446,10,333,8,1090,790,92,24,1
72155446,10,334,1,1090,790,92,24,1
72155446,10,334,2,1090,790,92,24,1
72155446,10,334,3,1090,790,92,24,1
72155446,10,334,4,1090,790,92,24,1
72155446,10,334,5,1090,790,92,24,1
72155446,10,334,6,1090,790,92,24,1
72155446,10,334,7,1090,790,92,24,1
72155446,10,334,8,1090,790,92,24,1
72155446,10,335,1,1090,790,92,24,1
72155446,10,335,2,1090,790,92,24,1
72155446,10,335,3,1090,790,92,24,1
72155446,10,335,4,1090,790,92,24,1
72155446,10,335,5,1090,790,92,24,1
72155446,10,335,6,1090,790,92,24,1
72155446,10,335,7,1090,790,92,24,1
72155446,10,335,8,1090,790,92,24,1
72155446,10,336,1,1090,790,92,24,1
72155446,10,336,2,1090,790,92,24,1
72155446,10,336,3,1090,790,92,24,1
72155446,10,336,4,1090,790,92,24,1
72155446,10,336,5,1090,790,92,24,1
72155446,10,336,6,1090,790,92,24,1
72155446,10,336,7,1090,790,92,24,1
72155446,10,336,8,1090,790,92,24,1
72155446,10,337,1,1090,790,92,24,1
72155446,10,337,2,1090,790,92,24,1
72155446,10,337,3,1090,790,92,24,1
72155446,10,337,4,1090,790,92,24,1
72155446,10,337,5,1090,790,92,24,1
72155446,10,337,6,1090,790,92,24,1
74776898,5,600,1,790,890,210,26,1
